country,Year,Age,Suicide_Number,Population,GdpForYear,GdpPerCapital
United States,2000,6,2589,6106351,"10,284,779,000,000",39218
United States,2000,4,9263,40945028,"10,284,779,000,000",39218
United States,2000,5,4153,19948630,"10,284,779,000,000",39218
United States,2000,3,3938,20120529,"10,284,779,000,000",39218
United States,2000,2,3424,20078818,"10,284,779,000,000",39218
United States,2000,4,2736,41881451,"10,284,779,000,000",39218
United States,2000,5,1084,22717040,"10,284,779,000,000",39218
United States,2000,3,854,19771195,"10,284,779,000,000",39218
United States,2000,6,425,10494416,"10,284,779,000,000",39218
United States,2000,2,570,19105073,"10,284,779,000,000",39218
United States,2000,1,244,21043474,"10,284,779,000,000",39218
United States,2000,1,63,20034103,"10,284,779,000,000",39218
United States,2001,6,2549,6285825,"10,621,824,000,000",40018
United States,2001,4,9684,41638996,"10,621,824,000,000",40018
United States,2001,5,4603,20451417,"10,621,824,000,000",40018
United States,2001,3,4199,20013572,"10,621,824,000,000",40018
United States,2001,2,3409,20485156,"10,621,824,000,000",40018
United States,2001,4,2893,42567863,"10,621,824,000,000",40018
United States,2001,5,1146,23170384,"10,621,824,000,000",40018
United States,2001,3,871,19593734,"10,621,824,000,000",40018
United States,2001,6,412,10691894,"10,621,824,000,000",40018
United States,2001,2,562,19463211,"10,621,824,000,000",40018
United States,2001,1,214,21032860,"10,621,824,000,000",40018
United States,2001,1,65,20032634,"10,621,824,000,000",40018
United States,2002,6,2642,6470864,"10,977,514,000,000",40845
United States,2002,4,10101,42042827,"10,977,514,000,000",40845
United States,2002,5,4890,21085316,"10,977,514,000,000",40845
United States,2002,3,4135,20202776,"10,977,514,000,000",40845
United States,2002,2,3432,20821269,"10,977,514,000,000",40845
United States,2002,4,3058,42957716,"10,977,514,000,000",40845
United States,2002,5,1191,23790625,"10,977,514,000,000",40845
United States,2002,3,911,19725528,"10,977,514,000,000",40845
United States,2002,6,443,10856838,"10,977,514,000,000",40845
United States,2002,2,578,19768514,"10,977,514,000,000",40845
United States,2002,1,199,21012559,"10,977,514,000,000",40845
United States,2002,1,65,20024727,"10,977,514,000,000",40845
United States,2003,6,2499,6599131,"11,510,670,000,000",42468
United States,2003,4,10025,42177315,"11,510,670,000,000",42468
United States,2003,5,4941,21773685,"11,510,670,000,000",42468
United States,2003,3,4156,20222486,"11,510,670,000,000",42468
United States,2003,2,3381,21182602,"11,510,670,000,000",42468
United States,2003,4,3058,42997878,"11,510,670,000,000",42468
United States,2003,5,1237,24463095,"11,510,670,000,000",42468
United States,2003,3,909,19650112,"11,510,670,000,000",42468
United States,2003,6,414,10983008,"11,510,670,000,000",42468
