mds1,mds2
-1.19E-01,-3.49E-01
-1.27E-01,-1.99E-01
-1.31E-01,-1.62E-01
-1.10E-01,-2.03E-01
-1.93E-02,-2.16E-01
-1.36E-01,-3.34E-01
-1.88E-01,-2.25E-01
-2.98E-01,-3.55E-01
-1.81E-01,-1.56E-01
-2.15E-01,-1.01E-01
-1.73E-01,-3.45E-01
8.34E-03,-1.39E-02
-6.29E-02,-2.11E-01
-1.31E-01,-2.24E-01
-2.07E-01,-2.29E-01
-2.33E-01,-4.85E-01
-1.75E-01,-4.50E-01
-8.64E-02,-2.66E-01
-4.68E-02,-1.15E-01
-6.58E-04,-5.48E-02
-2.01E-01,-2.96E-01
-8.09E-02,-4.28E-02
-7.51E-02,-9.85E-02
-2.40E-01,-4.42E-01
-2.10E-01,-3.16E-01
-1.09E-01,-2.01E-01
-2.04E-01,-3.66E-01
-1.18E-02,-9.14E-02
-3.60E-02,-2.81E-01
-8.97E-02,-2.23E-01
-9.06E-02,-1.25E-01
-2.63E-01,-2.15E-01
-3.32E-02,-1.55E-01
-7.64E-02,-3.72E-01
2.78E-02,-9.68E-02
-2.11E-01,-2.89E-01
-8.27E-02,-1.82E-01
-5.98E-02,-1.51E-01
-1.50E-01,-2.57E-01
-1.74E-01,-1.19E-01
-5.48E-02,-2.12E-02
-1.26E-01,-2.40E-01
-7.39E-02,-2.73E-01
3.27E-02,-1.53E-01
-9.48E-02,-1.61E-01
-1.16E-01,-5.03E-02
-1.99E-01,-2.18E-01
-2.03E-01,-2.85E-01
-9.50E-02,-1.26E-01
2.08E-02,-2.65E-02
-1.13E-01,-1.80E-01
-8.25E-02,-1.67E-01
-6.86E-02,-8.60E-02
-4.18E-02,-1.06E-01
-1.17E-01,-2.07E-01
3.65E-02,-1.32E-01
-9.52E-02,-1.54E-01
-7.61E-02,-2.11E-01
-7.94E-02,-9.90E-02
-4.10E-02,-1.84E-01
3.95E-03,5.26E-02
6.52E-02,9.82E-02
6.40E-02,1.45E-01
4.99E-02,1.50E-01
6.19E-02,7.80E-02
5.47E-02,7.88E-02
4.46E-02,1.16E-01
3.77E-02,7.94E-02
-6.81E-04,5.60E-02
2.73E-02,1.57E-02
2.64E-02,2.50E-02
1.99E-02,1.36E-02
7.05E-02,1.33E-01
1.27E-01,1.90E-01
1.80E-01,3.03E-01
-7.08E-03,6.58E-02
1.58E-01,2.04E-01
6.04E-02,9.44E-02
8.20E-02,2.99E-01
1.21E-01,3.25E-01
7.23E-02,1.75E-01
1.08E-01,1.68E-01
8.28E-02,1.90E-01
8.04E-02,1.44E-01
4.36E-03,1.09E-01
6.85E-02,1.02E-01
5.99E-03,2.64E-01
-4.34E-02,9.67E-02
1.44E-01,4.09E-01
7.39E-02,2.04E-01
1.09E-01,3.99E-01
6.81E-02,7.57E-02
1.81E-01,1.80E-01
1.03E-01,1.05E-01
1.88E-01,1.76E-01
7.80E-02,2.03E-01
5.59E-02,1.27E-01
3.79E-02,1.20E-01
-1.20E-02,6.49E-02
2.83E-01,4.60E-01
2.59E-01,3.84E-01
1.57E-01,3.64E-01
1.58E-01,4.28E-02
1.94E-01,2.29E-01
5.77E-02,4.04E-02
2.33E-01,4.23E-01
3.04E-02,2.36E-01
9.25E-02,1.45E-01
8.18E-03,1.77E-01
1.20E-01,1.58E-01
2.05E-01,1.61E-01
1.44E-02,2.68E-02
7.30E-02,1.02E-01
1.78E-01,2.40E-01
1.94E-01,1.07E-01
1.43E-01,7.32E-02
2.27E-01,2.63E-01
1.44E-01,1.43E-01
1.08E-01,1.54E-01
5.29E-02,1.60E-01
7.67E-02,1.92E-01
1.84E-01,2.20E-01
8.64E-02,1.75E-01
7.02E-02,2.00E-02
2.88E-02,2.07E-01
-1.45E-02,2.10E-01
1.41E-02,9.27E-03
1.21E-01,3.50E-01
4.52E-03,5.85E-02
2.10E-01,2.05E-01
1.85E-03,1.79E-01
2.22E-01,3.44E-01
